"data","vendas"
"2020-01-01","40"
"2020-01-02","10"
"2020-01-03","30"
"2020-01-04","25"
"2020-01-05","45"
"2020-01-06","20"
"2020-01-07","35"
"2020-01-08","50"
"2020-01-09","15"
"2020-01-10","40"
"2020-01-11","30"
"2020-01-12","25"
"2020-01-13","20"
"2020-01-14","10"
"2020-01-15","50"
"2020-01-16","45"
"2020-01-17","30"
"2020-01-18","35"
"2020-01-19","25"
"2020-01-20","20"
"2020-01-21","15"
"2020-01-22","40"
"2020-01-23","45"
"2020-01-24","35"
"2020-01-25","30"
"2020-01-26","10"
"2020-01-27","20"
"2020-01-28","25"
"2020-01-29","50"
"2020-01-30","40"
"2020-01-31","30"
"2020-02-01","20"
"2020-02-02","25"
"2020-02-03","40"
"2020-02-04","30"
"2020-02-05","15"
"2020-02-06","50"
"2020-02-07","35"
"2020-02-08","20"
"2020-02-09","10"
"2020-02-10","45"
"2020-02-11","40"
"2020-02-12","25"
"2020-02-13","35"
"2020-02-14","30"
"2020-02-15","15"
"2020-02-16","20"
"2020-02-17","50"
"2020-02-18","45"
"2020-02-19","25"
"2020-02-20","30"
"2020-02-21","10"
"2020-02-22","20"
"2020-02-23","35"
"2020-02-24","40"
"2020-02-25","25"
"2020-02-26","30"
"2020-02-27","15"
"2020-02-28","50"
"2020-02-29","35"
"2020-03-01","20"
"2020-03-02","10"
"2020-03-03","45"
"2020-03-04","40"
"2020-03-05","25"
"2020-03-06","30"
"2020-03-07","35"
"2020-03-08","20"
"2020-03-09","15"
"2020-03-10","50"
"2020-03-11","40"
"2020-03-12","30"
"2020-03-13","25"
"2020-03-14","10"
"2020-03-15","45"
"2020-03-16","20"
"2020-03-17","35"
"2020-03-18","50"
"2020-03-19","15"
"2020-03-20","40"
"2020-03-21","30"
"2020-03-22","25"
"2020-03-23","20"
"2020-03-24","10"
"2020-03-25","50"
"2020-03-26","45"
"2020-03-27","30"
"2020-03-28","35"
"2020-03-29","25"
"2020-03-30","20"
"2020-03-31","15"
"2020-04-01","40"
"2020-04-02","45"
"2020-04-03","35"
"2020-04-04","30"
"2020-04-05","10"
"2020-04-06","20"
"2020-04-07","25"
"2020-04-08","50"
"2020-04-09","40"
"2020-04-10","30"
"2020-04-11","20"
"2020-04-12","15"
"2020-04-13","50"
"2020-04-14","35"
"2020-04-15","25"
"2020-04-16","30"
"2020-04-17","20"
"2020-04-18","10"
"2020-04-19","40"
"2020-04-20","45"
"2020-04-21","25"
"2020-04-22","35"
"2020-04-23","30"
"2020-04-24","15"
"2020-04-25","50"
"2020-04-26","20"
"2020-04-27","25"
"2020-04-28","40"
"2020-04-29","30"
"2020-04-30","10"
"2020-05-01","45"
"2020-05-02","40"
"2020-05-03","25"
"2020-05-04","35"
"2020-05-05","20"
"2020-05-06","10"
"2020-05-07","50"
"2020-05-08","40"
"2020-05-09","30"
"2020-05-10","25"
"2020-05-11","15"
"2020-05-12","20"
"2020-05-13","35"
"2020-05-14","50"
"2020-05-15","40"
"2020-05-16","10"
"2020-05-17","45"
"2020-05-18","20"
"2020-05-19","25"
"2020-05-20","30"
"2020-05-21","15"
"2020-05-22","40"
"2020-05-23","50"
"2020-05-24","35"
"2020-05-25","20"
"2020-05-26","10"
"2020-05-27","45"
"2020-05-28","25"
"2020-05-29","40"
"2020-05-30","30"
"2020-05-31","35"
"2020-06-01","30"
"2020-06-02","22"
"2020-06-03","75"
"2020-06-04","67"
"2020-06-05","37"
"2020-06-06","45"
"2020-06-07","30"
"2020-06-08","15"
"2020-06-09","60"
"2020-06-10","52"
"2020-06-11","45"
"2020-06-12","37"
"2020-06-13","75"
"2020-06-14","22"
"2020-06-15","30"
"2020-06-16","60"
"2020-06-17","52"
"2020-06-18","15"
"2020-06-19","67"
"2020-06-20","45"
"2020-06-21","37"
"2020-06-22","75"
"2020-06-23","30"
"2020-06-24","22"
"2020-06-25","52"
"2020-06-26","60"
"2020-06-27","45"
"2020-06-28","37"
"2020-06-29","15"
"2020-06-30","67"
"2020-07-01","75"
"2020-07-02","30"
"2020-07-03","22"
"2020-07-04","52"
"2020-07-05","60"
"2020-07-06","45"
"2020-07-07","37"
"2020-07-08","15"
"2020-07-09","75"
"2020-07-10","67"
"2020-07-11","30"
"2020-07-12","52"
"2020-07-13","60"
"2020-07-14","37"
"2020-07-15","45"
"2020-07-16","22"
"2020-07-17","75"
"2020-07-18","30"
"2020-07-19","52"
"2020-07-20","15"
"2020-07-21","67"
"2020-07-22","60"
"2020-07-23","37"
"2020-07-24","45"
"2020-07-25","75"
"2020-07-26","30"
"2020-07-27","15"
"2020-07-28","52"
"2020-07-29","60"
"2020-07-30","45"
"2020-07-31","37"
"2020-08-01","50"
"2020-08-02","15"
"2020-08-03","20"
"2020-08-04","10"
"2020-08-05","45"
"2020-08-06","40"
"2020-08-07","25"
"2020-08-08","35"
"2020-08-09","20"
"2020-08-10","50"
"2020-08-11","15"
"2020-08-12","40"
"2020-08-13","30"
"2020-08-14","25"
"2020-08-15","10"
"2020-08-16","50"
"2020-08-17","45"
"2020-08-18","20"
"2020-08-19","35"
"2020-08-20","40"
"2020-08-21","30"
"2020-08-22","25"
"2020-08-23","10"
"2020-08-24","50"
"2020-08-25","15"
"2020-08-26","20"
"2020-08-27","35"
"2020-08-28","40"
"2020-08-29","10"
"2020-08-30","25"
"2020-08-31","30"
"2020-09-01","50"
